/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:1 dataset=Melanoma_5K cells=4513 clusters=9 decoder_mode=lowrank mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4764 base=0.4764 sharp=0.0000 var=0.7125 gate=1.000
Epoch 010/80 loss=0.4441 base=0.4441 sharp=0.0000 var=0.0009 gate=1.000
Epoch 020/80 loss=0.4438 base=0.4438 sharp=0.0000 var=0.0009 gate=1.000
Epoch 030/80 loss=0.4602 base=0.4602 sharp=0.0941 var=0.0007 gate=1.000
Epoch 040/80 loss=0.4775 base=0.4775 sharp=0.0968 var=0.0002 gate=1.000
Epoch 050/80 loss=0.4735 base=0.4735 sharp=0.0852 var=0.0000 gate=1.000
Epoch 060/80 loss=0.4686 base=0.4686 sharp=0.0717 var=0.0000 gate=1.000
Epoch 070/80 loss=0.4669 base=0.4669 sharp=0.0668 var=0.0000 gate=1.000
Epoch 080/80 loss=0.4648 base=0.4648 sharp=0.0607 var=0.0000 gate=1.000
[RESULT] Melanoma_5K decoder_mode=lowrank ARI=0.6525276768617111 NMI=0.720170683237762 aligned_eff_dim=1.3
