/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:6 dataset=Melanoma_5K cells=4513 clusters=9 decoder_mode=none mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4760 base=0.4760 sharp=0.0000 var=0.7156 gate=1.000
Epoch 010/80 loss=0.4444 base=0.4444 sharp=0.0000 var=0.0004 gate=1.000
Epoch 020/80 loss=0.4439 base=0.4439 sharp=0.0000 var=0.0009 gate=1.000
Epoch 030/80 loss=0.4583 base=0.4583 sharp=0.0830 var=0.0015 gate=1.000
Epoch 040/80 loss=0.4792 base=0.4792 sharp=0.1015 var=0.0009 gate=1.000
Epoch 050/80 loss=0.4750 base=0.4750 sharp=0.0898 var=0.0004 gate=1.000
Epoch 060/80 loss=0.4726 base=0.4726 sharp=0.0829 var=0.0002 gate=1.000
Epoch 070/80 loss=0.4709 base=0.4709 sharp=0.0781 var=0.0002 gate=1.000
Epoch 080/80 loss=0.4697 base=0.4697 sharp=0.0746 var=0.0003 gate=1.000
[RESULT] Melanoma_5K decoder_mode=none ARI=0.6554060114645452 NMI=0.7154227561800046 aligned_eff_dim=1.4
