/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:5 dataset=Melanoma_5K cells=4513 clusters=9 decoder_mode=none mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4764 base=0.4764 sharp=0.0000 var=0.7141 gate=1.000
Epoch 010/80 loss=0.4443 base=0.4443 sharp=0.0000 var=0.0014 gate=1.000
Epoch 020/80 loss=0.4439 base=0.4439 sharp=0.0000 var=0.0000 gate=1.000
Epoch 030/80 loss=0.4569 base=0.4569 sharp=0.0746 var=0.0026 gate=1.000
Epoch 040/80 loss=0.4756 base=0.4756 sharp=0.0911 var=0.0003 gate=1.000
Epoch 050/80 loss=0.4775 base=0.4775 sharp=0.0966 var=0.0001 gate=1.000
Epoch 060/80 loss=0.4739 base=0.4739 sharp=0.0860 var=0.0000 gate=1.000
Epoch 070/80 loss=0.4701 base=0.4701 sharp=0.0753 var=0.0001 gate=1.000
Epoch 080/80 loss=0.4664 base=0.4664 sharp=0.0646 var=0.0000 gate=1.000
[RESULT] Melanoma_5K decoder_mode=none ARI=0.7479454622434455 NMI=0.7496289349886257 aligned_eff_dim=1.4
