/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:4 dataset=Macosko cells=44808 clusters=12 decoder_mode=none mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4556 base=0.4556 sharp=0.0000 var=0.2363 gate=1.000
Epoch 010/80 loss=0.4473 base=0.4473 sharp=0.0000 var=0.0026 gate=1.000
Epoch 020/80 loss=0.4470 base=0.4470 sharp=0.0000 var=0.0019 gate=1.000
Epoch 030/80 loss=0.4870 base=0.4870 sharp=0.2244 var=0.0280 gate=1.000
Epoch 040/80 loss=0.5350 base=0.5350 sharp=0.2494 var=0.0109 gate=1.000
Epoch 050/80 loss=0.5362 base=0.5362 sharp=0.2529 var=0.0074 gate=1.000
Epoch 060/80 loss=0.5363 base=0.5363 sharp=0.2534 var=0.0057 gate=1.000
Epoch 070/80 loss=0.5351 base=0.5351 sharp=0.2494 var=0.0051 gate=1.000
Epoch 080/80 loss=0.5344 base=0.5344 sharp=0.2472 var=0.0057 gate=1.000
[RESULT] Macosko decoder_mode=none ARI=0.36402141606424815 NMI=0.5829811801659643 aligned_eff_dim=1.8
