/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:1 dataset=Melanoma_5K cells=4513 clusters=9 decoder_mode=concat mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4738 base=0.4738 sharp=0.0000 var=0.6925 gate=1.000
Epoch 010/80 loss=0.4438 base=0.4438 sharp=0.0000 var=0.0006 gate=1.000
Epoch 020/80 loss=0.4436 base=0.4436 sharp=0.0000 var=0.0010 gate=1.000
Epoch 030/80 loss=0.4591 base=0.4591 sharp=0.0880 var=0.0006 gate=1.000
Epoch 040/80 loss=0.4771 base=0.4771 sharp=0.0955 var=0.0003 gate=1.000
Epoch 050/80 loss=0.4733 base=0.4733 sharp=0.0847 var=0.0001 gate=1.000
Epoch 060/80 loss=0.4685 base=0.4685 sharp=0.0711 var=0.0000 gate=1.000
Epoch 070/80 loss=0.4669 base=0.4669 sharp=0.0665 var=0.0000 gate=1.000
Epoch 080/80 loss=0.4655 base=0.4655 sharp=0.0623 var=0.0000 gate=1.000
[RESULT] Melanoma_5K decoder_mode=concat ARI=0.6492002473207757 NMI=0.7194240853180153 aligned_eff_dim=1.4
