/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:5 dataset=Melanoma_5K cells=4513 clusters=9 decoder_mode=concat mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4735 base=0.4735 sharp=0.0000 var=0.6882 gate=1.000
Epoch 010/80 loss=0.4440 base=0.4440 sharp=0.0000 var=0.0016 gate=1.000
Epoch 020/80 loss=0.4436 base=0.4436 sharp=0.0000 var=0.0001 gate=1.000
Epoch 030/80 loss=0.4593 base=0.4593 sharp=0.0888 var=0.0032 gate=1.000
Epoch 040/80 loss=0.4788 base=0.4788 sharp=0.1004 var=0.0003 gate=1.000
Epoch 050/80 loss=0.4758 base=0.4758 sharp=0.0917 var=0.0006 gate=1.000
Epoch 060/80 loss=0.4722 base=0.4722 sharp=0.0814 var=0.0003 gate=1.000
Epoch 070/80 loss=0.4681 base=0.4681 sharp=0.0698 var=0.0003 gate=1.000
Epoch 080/80 loss=0.4663 base=0.4663 sharp=0.0644 var=0.0001 gate=1.000
[RESULT] Melanoma_5K decoder_mode=concat ARI=0.6507230669248469 NMI=0.7105238652558089 aligned_eff_dim=1.5
