/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:5 dataset=Macosko cells=44808 clusters=12 decoder_mode=lowrank mask_rank=8 varw=0.02
Epoch 001/80 loss=0.4555 base=0.4555 sharp=0.0000 var=0.2321 gate=1.000
Epoch 010/80 loss=0.4472 base=0.4472 sharp=0.0000 var=0.0032 gate=1.000
Epoch 020/80 loss=0.4470 base=0.4470 sharp=0.0000 var=0.0027 gate=1.000
Epoch 030/80 loss=0.4781 base=0.4781 sharp=0.1751 var=0.0130 gate=1.000
Epoch 040/80 loss=0.5056 base=0.5056 sharp=0.1657 var=0.0047 gate=1.000
Epoch 050/80 loss=0.5046 base=0.5046 sharp=0.1626 var=0.0033 gate=1.000
Epoch 060/80 loss=0.5064 base=0.5064 sharp=0.1672 var=0.0039 gate=1.000
Epoch 070/80 loss=0.5066 base=0.5066 sharp=0.1677 var=0.0044 gate=1.000
Epoch 080/80 loss=0.5116 base=0.5116 sharp=0.1821 var=0.0048 gate=1.000
[RESULT] Macosko decoder_mode=lowrank ARI=0.5951903079975224 NMI=0.6236561488275809 aligned_eff_dim=1.6
