/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:3 dataset=Macosko cells=44808 clusters=12 decoder_mode=lowrank mask_rank=8 varw=0.02
Epoch 001/80 loss=0.4556 base=0.4556 sharp=0.0000 var=0.2296 gate=1.000
Epoch 010/80 loss=0.4473 base=0.4473 sharp=0.0000 var=0.0027 gate=1.000
Epoch 020/80 loss=0.4469 base=0.4469 sharp=0.0000 var=0.0023 gate=1.000
Epoch 030/80 loss=0.4866 base=0.4866 sharp=0.2235 var=0.0271 gate=1.000
Epoch 040/80 loss=0.5350 base=0.5350 sharp=0.2504 var=0.0102 gate=1.000
Epoch 050/80 loss=0.5370 base=0.5370 sharp=0.2558 var=0.0083 gate=1.000
Epoch 060/80 loss=0.5338 base=0.5338 sharp=0.2466 var=0.0068 gate=1.000
Epoch 070/80 loss=0.5356 base=0.5356 sharp=0.2515 var=0.0064 gate=1.000
Epoch 080/80 loss=0.5350 base=0.5350 sharp=0.2497 var=0.0061 gate=1.000
[RESULT] Macosko decoder_mode=lowrank ARI=0.35915726976494666 NMI=0.5999503280540739 aligned_eff_dim=1.8
