/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:4 dataset=Macosko cells=44808 clusters=12 decoder_mode=lowrank mask_rank=4 varw=0.02
Epoch 001/80 loss=0.4556 base=0.4556 sharp=0.0000 var=0.2220 gate=1.000
Epoch 010/80 loss=0.4472 base=0.4472 sharp=0.0000 var=0.0022 gate=1.000
Epoch 020/80 loss=0.4469 base=0.4469 sharp=0.0000 var=0.0020 gate=1.000
Epoch 030/80 loss=0.4872 base=0.4872 sharp=0.2256 var=0.0276 gate=1.000
Epoch 040/80 loss=0.5364 base=0.5364 sharp=0.2537 var=0.0077 gate=1.000
Epoch 050/80 loss=0.5360 base=0.5360 sharp=0.2524 var=0.0060 gate=1.000
Epoch 060/80 loss=0.5360 base=0.5360 sharp=0.2522 var=0.0048 gate=1.000
Epoch 070/80 loss=0.5353 base=0.5353 sharp=0.2498 var=0.0066 gate=1.000
Epoch 080/80 loss=0.5359 base=0.5359 sharp=0.2515 var=0.0054 gate=1.000
[RESULT] Macosko decoder_mode=lowrank ARI=0.36056433108230884 NMI=0.5938048554344664 aligned_eff_dim=1.8
