/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:2 dataset=Macosko cells=44808 clusters=12 decoder_mode=lowrank mask_rank=4 varw=0.02
Epoch 001/80 loss=0.4555 base=0.4555 sharp=0.0000 var=0.2276 gate=1.000
Epoch 010/80 loss=0.4472 base=0.4472 sharp=0.0000 var=0.0030 gate=1.000
Epoch 020/80 loss=0.4470 base=0.4470 sharp=0.0000 var=0.0027 gate=1.000
Epoch 030/80 loss=0.4775 base=0.4775 sharp=0.1718 var=0.0128 gate=1.000
Epoch 040/80 loss=0.5039 base=0.5039 sharp=0.1608 var=0.0042 gate=1.000
Epoch 050/80 loss=0.5028 base=0.5028 sharp=0.1574 var=0.0030 gate=1.000
Epoch 060/80 loss=0.5053 base=0.5053 sharp=0.1639 var=0.0033 gate=1.000
Epoch 070/80 loss=0.5047 base=0.5047 sharp=0.1622 var=0.0040 gate=1.000
Epoch 080/80 loss=0.5099 base=0.5099 sharp=0.1770 var=0.0046 gate=1.000
[RESULT] Macosko decoder_mode=lowrank ARI=0.6113470318436691 NMI=0.6280854529463256 aligned_eff_dim=1.6
