/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:4 dataset=Macosko cells=44808 clusters=12 decoder_mode=none mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4557 base=0.4557 sharp=0.0000 var=0.2388 gate=1.000
Epoch 010/80 loss=0.4473 base=0.4473 sharp=0.0000 var=0.0031 gate=1.000
Epoch 020/80 loss=0.4470 base=0.4470 sharp=0.0000 var=0.0023 gate=1.000
Epoch 030/80 loss=0.4877 base=0.4877 sharp=0.2280 var=0.0286 gate=1.000
Epoch 040/80 loss=0.5348 base=0.5348 sharp=0.2489 var=0.0104 gate=1.000
Epoch 050/80 loss=0.5362 base=0.5362 sharp=0.2524 var=0.0048 gate=1.000
Epoch 060/80 loss=0.5359 base=0.5359 sharp=0.2514 var=0.0042 gate=1.000
Epoch 070/80 loss=0.5352 base=0.5352 sharp=0.2493 var=0.0043 gate=1.000
Epoch 080/80 loss=0.5365 base=0.5365 sharp=0.2526 var=0.0041 gate=1.000
[RESULT] Macosko decoder_mode=none ARI=0.3581585326247293 NMI=0.5899524209733469 aligned_eff_dim=1.8
