/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:6 dataset=Macosko cells=44808 clusters=12 decoder_mode=lowrank mask_rank=4 varw=0.02
Epoch 001/80 loss=0.4553 base=0.4553 sharp=0.0000 var=0.2160 gate=1.000
Epoch 010/80 loss=0.4472 base=0.4472 sharp=0.0000 var=0.0030 gate=1.000
Epoch 020/80 loss=0.4470 base=0.4470 sharp=0.0000 var=0.0023 gate=1.000
Epoch 030/80 loss=0.4793 base=0.4793 sharp=0.1817 var=0.0141 gate=1.000
Epoch 040/80 loss=0.5067 base=0.5067 sharp=0.1691 var=0.0041 gate=1.000
Epoch 050/80 loss=0.5090 base=0.5090 sharp=0.1754 var=0.0039 gate=1.000
Epoch 060/80 loss=0.5174 base=0.5174 sharp=0.1991 var=0.0040 gate=1.000
Epoch 070/80 loss=0.5257 base=0.5257 sharp=0.2225 var=0.0049 gate=1.000
Epoch 080/80 loss=0.5383 base=0.5383 sharp=0.2580 var=0.0069 gate=1.000
[RESULT] Macosko decoder_mode=lowrank ARI=0.41326567581577767 NMI=0.5773090021884433 aligned_eff_dim=1.7
