/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:4 dataset=Macosko cells=44808 clusters=12 decoder_mode=lowrank mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4556 base=0.4556 sharp=0.0000 var=0.2326 gate=1.000
Epoch 010/80 loss=0.4473 base=0.4473 sharp=0.0000 var=0.0030 gate=1.000
Epoch 020/80 loss=0.4470 base=0.4470 sharp=0.0000 var=0.0027 gate=1.000
Epoch 030/80 loss=0.4887 base=0.4887 sharp=0.2341 var=0.0300 gate=1.000
Epoch 040/80 loss=0.5365 base=0.5365 sharp=0.2540 var=0.0086 gate=1.000
Epoch 050/80 loss=0.5385 base=0.5385 sharp=0.2595 var=0.0060 gate=1.000
Epoch 060/80 loss=0.5347 base=0.5347 sharp=0.2484 var=0.0046 gate=1.000
Epoch 070/80 loss=0.5374 base=0.5374 sharp=0.2559 var=0.0046 gate=1.000
Epoch 080/80 loss=0.5366 base=0.5366 sharp=0.2532 var=0.0048 gate=1.000
[RESULT] Macosko decoder_mode=lowrank ARI=0.4875941658146216 NMI=0.6375825047579612 aligned_eff_dim=1.8
