/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
/data/luolie/conda/envs/scssl_bench_py310/lib/python3.10/site-packages/scanpy/preprocessing/_highly_variable_genes.py:220: FutureWarning: The default of observed=False is deprecated and will be changed to True in a future version of pandas. Pass observed=False to retain current behavior or observed=True to adopt the future default and silence this warning.
  disp_grouped = df.groupby('mean_bin')['dispersions']
Device=cuda:5 dataset=Macosko cells=44808 clusters=12 decoder_mode=lowrank mask_rank=16 varw=0.02
Epoch 001/80 loss=0.4551 base=0.4551 sharp=0.0000 var=0.2082 gate=1.000
Epoch 010/80 loss=0.4473 base=0.4473 sharp=0.0000 var=0.0032 gate=1.000
Epoch 020/80 loss=0.4470 base=0.4470 sharp=0.0000 var=0.0023 gate=1.000
Epoch 030/80 loss=0.4879 base=0.4879 sharp=0.2296 var=0.0291 gate=1.000
Epoch 040/80 loss=0.5337 base=0.5337 sharp=0.2461 var=0.0097 gate=1.000
Epoch 050/80 loss=0.5353 base=0.5353 sharp=0.2504 var=0.0065 gate=1.000
Epoch 060/80 loss=0.5356 base=0.5356 sharp=0.2511 var=0.0051 gate=1.000
Epoch 070/80 loss=0.5364 base=0.5364 sharp=0.2531 var=0.0053 gate=1.000
Epoch 080/80 loss=0.5365 base=0.5365 sharp=0.2531 var=0.0050 gate=1.000
[RESULT] Macosko decoder_mode=lowrank ARI=0.35689585582529876 NMI=0.5960605729831826 aligned_eff_dim=1.8
